Time Minutes;TC01.SP C;FC03.SP kg/hr;STREAMS("GLPHD-PR").Zn("ETHANE") kmol/kmol;STREAMS("GLPHD-PR").Zn("PENTANE") kmol/kmol
326;171;10648;0.0137984;0.0218569
327;171;10648;0.0137985;0.0218608
328;171;10648;0.0137985;0.0218647
329;171;10648;0.0137985;0.0218686
330;171;10648;0.0137985;0.0218724
331;171;10648;0.0137985;0.0218762
332;171;10648;0.0137985;0.02188
333;171;10648;0.0137985;0.0218838
334;171;10648;0.0137985;0.0218876
335;171;10648;0.0137985;0.0218913
336;171;10648;0.0137985;0.021895
337;171;10648;0.0137985;0.0218987
338;171;10648;0.0137986;0.0219024
339;171;10648;0.0137986;0.0219061
340;171;10648;0.0137986;0.0219096
341;171;10648;0.0137986;0.0219132
342;171;10648;0.0137986;0.0219168
343;171;10648;0.0137986;0.0219204
344;171;10648;0.0137986;0.021924
345;171;10648;0.0137986;0.0219275
346;171;10648;0.0137986;0.021931
347;171;10648;0.0137986;0.0219345
348;171;10648;0.0137986;0.0219379
349;171;10648;0.0137987;0.0219414
350;171;10648;0.0137987;0.0219448
351;171;10648;0.0137987;0.0219482
352;171;10648;0.0137987;0.0219516
353;171;10648;0.0137987;0.021955
354;171;10648;0.0137987;0.0219584
355;171;10648;0.0137987;0.0219617
356;171;10648;0.0137987;0.021965
357;171;10648;0.0137987;0.0219682
358;171;10648;0.0137987;0.0219715
359;171;10648;0.0137987;0.0219748
360;171;10648;0.0137987;0.021978
361;171;10648;0.0137988;0.0219812
362;171;10648;0.0137988;0.0219844
363;171;10648;0.0137988;0.0219876
364;171;10648;0.0137988;0.0219908
365;171;10648;0.0137988;0.0219939
366;171;10648;0.0137988;0.021997
367;171;10648;0.0137988;0.0220001
368;171;10648;0.0137988;0.0220032
369;171;10648;0.0137988;0.0220063
370;171;10648;0.0137988;0.0220094
371;171;10648;0.0137988;0.0220124
372;171;10648;0.0137988;0.0220154
373;171;10648;0.0137988;0.0220184
374;171;10648;0.0137988;0.0220214
375;171;10648;0.0137988;0.0220244
376;171;10648;0.0137988;0.0220273
377;171;10648;0.0137989;0.0220302
378;171;10648;0.0137989;0.0220331
379;171;10648;0.0137989;0.0220361
380;171;10648;0.0137989;0.0220389
381;171;10648;0.0137989;0.0220418
382;171;10648;0.0137989;0.0220446
383;171;10648;0.0137989;0.0220475
384;171;10648;0.0137989;0.0220503
385;171;10648;0.0137989;0.0220531
386;171;10648;0.0137989;0.0220558
387;171;10648;0.0137989;0.0220586
388;171;10648;0.0137989;0.0220614
389;171;10648;0.0137989;0.0220641
390;171;10648;0.0137989;0.0220668
391;171;10648;0.0137989;0.0220695
392;171;10648;0.0137989;0.0220722
393;171;10648;0.0137989;0.0220748
394;171;10648;0.013799;0.0220775
395;171;10648;0.013799;0.0220801
396;171;10648;0.013799;0.0220827
397;171;10648;0.013799;0.0220853
398;171;10648;0.013799;0.0220879
399;171;10648;0.013799;0.0220906
400;171;10648;0.013799;0.0220931
401;171;10648;0.013799;0.0220956
402;171;10648;0.013799;0.0220981
403;171;10648;0.013799;0.0221007
404;171;10648;0.013799;0.0221032
405;171;10648;0.013799;0.0221056
406;171;10648;0.013799;0.0221081
407;171;10648;0.013799;0.0221105
408;171;10648;0.013799;0.022113
409;171;10648;0.013799;0.0221154
410;171;10648;0.013799;0.0221179
411;171;10648;0.0137991;0.0221202
412;171;10648;0.0137991;0.0221226
413;171;10648;0.0137991;0.022125
414;171;10648;0.0137991;0.0221273
415;171;10648;0.0137991;0.0221297
416;171;10648;0.0137991;0.0221321
417;171;10648;0.0137991;0.0221343
418;171;10648;0.0137991;0.0221366
419;171;10648;0.0137991;0.0221389
420;171;10648;0.0137991;0.0221412
421;171;10648;0.0137991;0.0221435
422;166;10648;0.0137991;0.0221457
423;166;10648;0.013842;0.022006
424;166;10648;0.013992;0.0216299
425;166;10648;0.0141807;0.021058
426;166;10648;0.0143632;0.0203428
427;166;10648;0.0145164;0.0195427
428;166;10648;0.0146279;0.0187077
429;166;10648;0.0146944;0.0178774
430;166;10648;0.0147191;0.0170811
431;166;10648;0.0147094;0.0163391
432;166;10648;0.0146738;0.0156634
433;166;10648;0.0146206;0.0150602
434;166;10648;0.014557;0.0145322
435;166;10648;0.014489;0.0140795
436;166;10648;0.014421;0.0137008
437;166;10648;0.0143563;0.0133934
438;166;10648;0.0142968;0.0131537
439;166;10648;0.0142438;0.012977
440;166;10648;0.0141977;0.0128579
441;166;10648;0.0141586;0.0127901
442;166;10648;0.014126;0.0127671
443;166;10648;0.0140993;0.0127819
444;166;10648;0.0140779;0.0128279
445;166;10648;0.0140608;0.0128986
446;166;10648;0.0140474;0.012988
447;166;10648;0.0140369;0.0130909
448;166;10648;0.0140288;0.0132028
449;166;10648;0.0140225;0.0133199
450;166;10648;0.0140176;0.0134392
451;166;10648;0.0140138;0.0135584
452;166;10648;0.0140106;0.0136757
453;166;10648;0.014008;0.01379
454;166;10648;0.0140058;0.0139005
455;166;10648;0.0140038;0.0140066
456;166;10648;0.014002;0.0141082
457;166;10648;0.0140004;0.0142051
458;166;10648;0.0139989;0.0142975
459;166;10648;0.0139975;0.0143855
460;166;10648;0.0139962;0.0144689
461;166;10648;0.0139954;0.0145473
462;166;10648;0.013996;0.0146167
463;166;10648;0.0140013;0.0146707
464;166;10648;0.0140147;0.0147028
465;166;10648;0.0140348;0.0147136
466;166;10648;0.0140534;0.0147087
467;166;10648;0.0140635;0.0146947
468;166;10648;0.0140657;0.0146775
469;166;10648;0.0140634;0.0146603
470;166;10648;0.0140592;0.0146449
471;166;10648;0.0140543;0.0146327
472;166;10648;0.0140484;0.0146256
473;166;10648;0.0140416;0.0146251
474;166;10648;0.0140341;0.0146322
475;166;10648;0.0140267;0.0146474
476;166;10648;0.0140193;0.0146707
477;166;10648;0.0140122;0.0147015
478;166;10648;0.0140055;0.0147393
479;166;10648;0.0139992;0.0147833
480;166;10648;0.0139935;0.0148326
481;166;10648;0.0139883;0.0148861
482;166;10648;0.0139837;0.014943
483;166;10648;0.0139796;0.0150023
484;166;10648;0.013976;0.015063
485;166;10648;0.013973;0.0151243
486;166;10648;0.0139704;0.0151855
487;166;10648;0.0139682;0.015246
488;166;10648;0.0139665;0.0153051
489;166;10648;0.0139651;0.0153623
490;166;10648;0.0139641;0.0154174
491;166;10648;0.0139633;0.01547
492;166;10648;0.0139628;0.0155198
493;166;10648;0.0139625;0.0155668
494;166;10648;0.0139624;0.0156107
495;166;10648;0.0139625;0.0156517
496;166;10648;0.0139626;0.0156896
497;166;10648;0.0139629;0.0157245
498;166;10648;0.0139632;0.0157566
499;166;10648;0.0139637;0.0157858
500;166;10648;0.0139642;0.0158123
501;166;10648;0.0139647;0.0158362
502;166;10648;0.0139652;0.0158578
503;166;10648;0.0139658;0.015877
504;166;10648;0.0139663;0.0158941
505;166;10648;0.0139668;0.0159093
506;166;10648;0.0139674;0.0159226
507;166;10648;0.0139679;0.0159342
508;166;10648;0.0139685;0.0159443
509;166;10648;0.013969;0.015953
510;166;10648;0.0139694;0.0159604
511;166;10648;0.0139699;0.0159667
512;166;10648;0.0139703;0.0159719
513;166;10648;0.0139706;0.0159761
514;166;10648;0.013971;0.0159795
515;166;10648;0.0139713;0.0159821
516;166;10648;0.0139716;0.0159841
517;166;10648;0.0139719;0.0159854
518;166;10648;0.0139722;0.0159862
519;166;10648;0.0139724;0.0159865
520;166;10648;0.0139726;0.0159864
521;166;10648;0.0139728;0.0159859
522;166;10648;0.0139729;0.0159851
523;166;10648;0.0139731;0.0159839
524;166;10648;0.0139732;0.0159825
525;166;10648;0.0139733;0.0159809
526;166;10648;0.0139734;0.0159791
527;166;10648;0.0139735;0.0159771
528;166;10648;0.0139736;0.0159748
529;166;10648;0.0139736;0.0159726
530;166;10648;0.0139737;0.0159701
531;166;10648;0.0139738;0.0159676
532;166;10648;0.0139738;0.0159649
533;166;10648;0.0139738;0.0159622
534;166;10648;0.0139738;0.0159594
535;166;10648;0.0139739;0.0159565
536;166;10648;0.0139739;0.0159536
537;166;10648;0.0139739;0.0159506
538;166;10648;0.0139739;0.0159475
539;166;10648;0.0139739;0.0159444
540;166;10648;0.0139739;0.0159413
541;166;10648;0.0139739;0.0159381
542;166;10648;0.0139739;0.0159349
543;166;10648;0.0139739;0.0159317
544;166;10648;0.0139739;0.0159284
545;166;10648;0.0139739;0.0159251
546;166;10648;0.0139739;0.0159218
547;166;10648;0.0139739;0.0159185
548;166;10648;0.0139739;0.0159151
549;166;10648;0.0139739;0.0159117
550;166;10648;0.0139738;0.0159083
551;166;10648;0.0139738;0.015905
552;166;10648;0.0139738;0.0159016
553;166;10648;0.0139738;0.0158982
554;166;10648;0.0139738;0.0158948
555;166;10648;0.0139737;0.0158914
556;166;10648;0.0139737;0.015888
557;166;10648;0.0139737;0.0158846
558;166;10648;0.0139737;0.0158812
559;166;10648;0.0139736;0.0158778
560;166;10648;0.0139736;0.0158744
561;166;10648;0.0139736;0.015871
562;166;10648;0.0139736;0.0158676
563;166;10648;0.0139736;0.0158642
564;166;10648;0.0139735;0.0158608
565;166;10648;0.0139735;0.0158574
566;166;10648;0.0139735;0.015854
567;166;10648;0.0139735;0.0158506
568;166;10648;0.0139735;0.0158472
569;166;10648;0.0139734;0.0158438
570;166;10648;0.0139734;0.0158404
571;166;10648;0.0139734;0.015837
572;166;10648;0.0139734;0.0158336
573;166;10648;0.0139733;0.0158303
574;166;10648;0.0139733;0.015827
575;166;10648;0.0139733;0.0158238
576;166;10648;0.0139733;0.0158205
577;166;10648;0.0139733;0.0158172
578;166;10648;0.0139732;0.0158139
579;166;10648;0.0139732;0.0158107
580;166;10648;0.0139732;0.0158075
581;166;10648;0.0139732;0.0158042
582;166;10648;0.0139731;0.015801
583;166;10648;0.0139731;0.0157979
584;166;10648;0.0139731;0.0157947
585;166;10648;0.0139731;0.0157916
586;166;10648;0.0139731;0.0157884
587;166;10648;0.013973;0.0157853
588;166;10648;0.013973;0.0157822
589;166;10648;0.013973;0.0157791
590;166;10648;0.013973;0.015776
591;166;10648;0.0139729;0.0157729
592;166;10648;0.0139729;0.0157699
593;166;10648;0.0139729;0.0157669
594;166;10648;0.0139729;0.0157639
595;166;10648;0.0139729;0.0157609
596;166;10648;0.0139728;0.0157579
597;166;10648;0.0139728;0.015755
598;166;10648;0.0139728;0.015752
599;166;10648;0.0139728;0.0157491
600;166;10648;0.0139727;0.0157462
601;166;10648;0.0139727;0.0157433
602;166;10648;0.0139727;0.0157405
603;166;10648;0.0139727;0.0157376
604;166;10648;0.0139727;0.0157348
605;166;10648;0.0139726;0.015732
606;166;10648;0.0139726;0.0157291
607;166;10648;0.0139726;0.0157263
608;166;10648;0.0139726;0.0157236
609;166;10648;0.0139725;0.0157208
610;166;10648;0.0139725;0.0157181
611;166;10648;0.0139725;0.0157154
612;166;10648;0.0139725;0.0157127
613;166;10648;0.0139725;0.01571
614;166;10648;0.0139724;0.0157073
615;166;10648;0.0139724;0.0157046
616;166;10648;0.0139724;0.015702
617;166;10648;0.0139724;0.0156994
618;166;10648;0.0139723;0.0156968
619;166;10648;0.0139723;0.0156942
620;166;10648;0.0139723;0.0156916
621;166;10648;0.0139723;0.0156891
622;166;10648;0.0139723;0.0156865
623;166;10648;0.0139722;0.015684
624;166;10648;0.0139722;0.0156815
625;166;10648;0.0139722;0.015679
626;166;10648;0.0139722;0.0156765
627;166;10648;0.0139721;0.015674
628;166;10648;0.0139721;0.0156716
629;166;10648;0.0139721;0.0156691
630;166;10648;0.0139721;0.0156667
631;166;10648;0.0139721;0.0156643
632;166;10648;0.013972;0.0156619
633;166;10648;0.013972;0.0156595
634;166;10648;0.013972;0.0156572
635;166;10648;0.013972;0.0156549
636;166;10648;0.013972;0.0156525
637;166;10648;0.0139719;0.0156502
638;166;10648;0.0139719;0.0156479
639;166;10648;0.0139719;0.0156456
640;166;10648;0.0139719;0.0156433
641;166;10648;0.0139719;0.0156411
642;166;11148;0.0139718;0.0156388
643;166;11148;0.0139939;0.0155672
644;166;11148;0.0140163;0.0154528
645;166;11148;0.0140377;0.0153278
646;166;11148;0.0140528;0.0152034
647;166;11148;0.0140582;0.0150868
648;166;11148;0.0140568;0.0149822
649;166;11148;0.0140524;0.0148898
650;166;11148;0.014048;0.0148077
651;166;11148;0.0140452;0.0147338
652;166;11148;0.0140438;0.0146672
653;166;11148;0.0140424;0.0146083
654;166;11148;0.0140399;0.0145576
655;166;11148;0.0140363;0.0145155
656;166;11148;0.014032;0.0144818
657;166;11148;0.0140275;0.014456
658;166;11148;0.014023;0.0144376
659;166;11148;0.0140184;0.0144261
660;166;11148;0.0140138;0.014421
661;166;11148;0.0140092;0.0144219
662;166;11148;0.0140048;0.0144282
663;166;11148;0.0140006;0.0144392
664;166;11148;0.0139967;0.0144544
665;166;11148;0.013993;0.0144731
666;166;11148;0.0139896;0.0144948
667;166;11148;0.0139865;0.0145189
668;166;11148;0.0139836;0.0145449
669;166;11148;0.0139811;0.0145723
670;166;11148;0.0139788;0.0146005
671;166;11148;0.0139768;0.0146293
672;166;11148;0.0139751;0.0146581
673;166;11148;0.0139736;0.0146869
674;166;11148;0.0139723;0.0147151
675;166;11148;0.0139713;0.0147427
676;166;11148;0.0139704;0.0147694
677;166;11148;0.0139697;0.014795
678;166;11148;0.0139692;0.0148195
679;166;11148;0.0139687;0.0148427
680;166;11148;0.0139684;0.0148646
681;166;11148;0.0139682;0.0148852
682;166;11148;0.0139681;0.0149044
683;166;11148;0.013968;0.0149223
684;166;11148;0.0139681;0.0149388
685;166;11148;0.0139681;0.0149541
686;166;11148;0.0139683;0.0149681
687;166;11148;0.0139684;0.0149809
688;166;11148;0.0139686;0.0149926
689;166;11148;0.0139688;0.0150031
690;166;11148;0.0139691;0.0150127
691;166;11148;0.0139693;0.0150213
692;166;11148;0.0139695;0.015029
693;166;11148;0.0139697;0.0150359
694;166;11148;0.01397;0.015042
695;166;11148;0.0139702;0.0150475
696;166;11148;0.0139704;0.0150523
697;166;11148;0.0139706;0.0150565
698;166;11148;0.0139708;0.0150602
699;166;11148;0.0139711;0.0150633
700;166;11148;0.0139713;0.0150661
701;166;11148;0.0139714;0.0150685
702;166;11148;0.0139716;0.0150705
703;166;11148;0.0139718;0.0150722
704;166;11148;0.0139719;0.0150736
705;166;11148;0.0139721;0.0150748
706;166;11148;0.0139722;0.0150757
707;166;11148;0.0139723;0.0150765
708;166;11148;0.0139724;0.0150771
709;166;11148;0.0139725;0.0150774
710;166;11148;0.0139726;0.0150778
711;166;11148;0.0139727;0.0150779
712;166;11148;0.0139728;0.015078
713;166;11148;0.0139728;0.0150779
714;166;11148;0.0139729;0.0150779
715;166;11148;0.013973;0.0150776
716;166;11148;0.013973;0.0150774
717;166;11148;0.013973;0.0150771
718;166;11148;0.0139731;0.0150767
719;166;11148;0.0139731;0.0150764
720;166;11148;0.0139731;0.0150759
721;166;11148;0.0139732;0.0150755
722;166;11148;0.0139732;0.015075
723;166;11148;0.0139732;0.0150745
724;166;11148;0.0139733;0.015074
